GEO_B_10,travels_and_geography,open,How should governments manage urban growth?,Comment les gouvernements devraient-ils gérer la croissance urbaine ?
HLT_B_16,health_and_habits,open,What makes preventive healthcare effective?,Qu’est-ce qui rend les soins préventifs efficaces ?
HLT_B_06,health_and_habits,open,How can communities promote public health?,Comment les communautés peuvent-elles promouvoir la santé publique ?
HIS_01,history,factual,What is a revolution?,Qu’est-ce qu’une révolution ?
HIS_B_19,history,open,What is the impact of globalization on historical identity?,Quel est l’impact de la mondialisation sur l’identité historique ?
GEO_B_07,travels_and_geography,open,How can travelers reduce their environmental footprint?,Comment les voyageurs peuvent-ils réduire leur empreinte environnementale ?
TEC_11,technology,factual,What is a database?,Qu’est-ce qu’une base de données ?
GEO_15,travels_and_geography,factual,What is cultural tourism?,Qu’est-ce que le tourisme culturel ?
TEC_14,technology,factual,What is digital privacy?,Qu’est-ce que la confidentialité numérique ?
TEC_B_18,technology,open,How should AI bias be mitigated?,Comment atténuer les biais de l’IA ?
FOO_B_08,food_and_drink,open,How can individuals eat more sustainably?,Comment les individus peuvent-ils manger de manière plus durable ?
TEC_19,technology,factual,What is automation?,Qu’est-ce que l’automatisation ?
GEO_12,travels_and_geography,factual,What causes volcanic islands?,Qu’est-ce qui provoque la formation d’îles volcaniques ?
FOO_B_15,food_and_drink,open,How can food choices affect the environment?,Comment les choix alimentaires affectent-ils l’environnement ?
TEC_03,technology,factual,What is a neural network?,Qu’est-ce qu’un réseau de neurones ?
JOB_07,jobs_and_workplace,factual,What is work-life balance?,Qu’est-ce que l’équilibre vie professionnelle / vie personnelle ?
SCI_B_09,science,open,How would you encourage young people to pursue science?,Comment encourageriez-vous les jeunes à poursuivre des études scientifiques ?
TEC_18,technology,factual,What is quantum computing?,Qu’est-ce que l’informatique quantique ?
SCI_B_16,science,open,"If you could solve one scientific problem, which would it be?","Si vous pouviez résoudre un problème scientifique, lequel serait-ce ?"
LIT_B_12,literature,open,What does good writing mean to you?,Que signifie pour vous une bonne écriture ?
HIS_B_11,history,open,What makes a historical event significant?,Qu’est-ce qui rend un événement historique significatif ?
TEC_16,technology,factual,What is edge computing?,Qu’est-ce que l’informatique en périphérie (edge computing) ?
GEO_B_16,travels_and_geography,open,How can travel broaden perspectives?,Comment le voyage peut-il élargir les perspectives ?
LIT_B_19,literature,open,How can literature build cultural bridges?,Comment la littérature peut-elle créer des ponts culturels ?
LIT_B_17,literature,open,How does translation affect literature?,Comment la traduction affecte-t-elle la littérature ?
JOB_08,jobs_and_workplace,factual,How do organizations measure performance?,Comment les organisations mesurent-elles la performance ?
SCI_B_17,science,open,How should research priorities be decided?,Comment les priorités de recherche devraient-elles être décidées ?
TEC_12,technology,factual,What is an algorithm?,Qu’est-ce qu’un algorithme ?
TEC_B_12,technology,open,What makes a technology trustworthy?,Qu’est-ce qui rend une technologie digne de confiance ?
HLT_10,health_and_habits,factual,What is preventive healthcare?,Qu’est-ce que les soins préventifs ?
HIS_B_16,history,open,What is the role of memory in shaping the future?,Quel est le rôle de la mémoire dans la construction de l’avenir ?
SCI_05,science,factual,How do plants convert sunlight into energy?,Comment les plantes convertissent-elles la lumière du soleil en énergie ?
HIS_06,history,factual,What was the Renaissance?,Qu’était la Renaissance ?
GEO_05,travels_and_geography,factual,Why do some regions experience monsoons?,Pourquoi certaines régions connaissent-elles des moussons ?
TEC_05,technology,factual,How does cloud computing work?,Comment fonctionne l’informatique en nuage ?
SCI_13,science,factual,What is gravity?,Qu’est-ce que la gravité ?
LIT_B_06,literature,open,What role does storytelling play in society?,Quel rôle le récit joue-t-il dans la société ?
HIS_B_03,history,open,How should history be taught in schools?,Comment l’histoire devrait-elle être enseignée à l’école ?
GEO_B_17,travels_and_geography,open,What challenges do megacities face?,Quels défis les mégapoles rencontrent-elles ?
FOO_10,food_and_drink,factual,How does caffeine affect the body?,Comment la caféine affecte-t-elle le corps ?
HIS_04,history,factual,What is industrialization?,Qu’est-ce que l’industrialisation ?
